Month,Day,High (Fahrenheit),Low (Fahrenheit),Precipitation (inch),Snow (inch),Snow Depth
January,1,17.1,-11.0,0.03,0.51,5.0
January,2,10.0,-9.9,0.00,0.00,5.0
January,3,26.1,10.0,0.00,0.00,5.0
January,4,36.0,19.0,0.00,0.00,5.0
January,5,39.9,16.0,0.00,0.00,4.0
January,6,39.0,16.0,0.00,0.00,3.0
January,7,35.1,27.0,0.00,0.00,2.0
January,8,39.0,28.9,0.00,0.00,2.0
January,9,30.9,3.0,0.00,0.00,2.0
January,10,10.9,3.0,0.00,0.00,2.0
January,11,28.9,10.0,0.00,0.00,2.0
January,12,32.0,15.1,0.00,0.00,2.0
January,13,26.1,18.0,0.00,0.00,2.0
January,14,30.0,25.0,-,0.00,2.0
January,15,28.0,21.0,-,0.00,2.0
January,16,27.0,-2.0,0.00,0.00,2.0
January,17,16.0,-2.0,0.04,0.71,2.0
January,18,19.9,8.1,0.11,1.50,4.0
January,19,8.1,-16.1,0.23,2.99,6.0
January,20,0.0,-16.1,0.06,1.30,7.0
January,21,7.0,-6.0,0.02,0.51,7.0
January,22,15.1,7.0,0.05,0.98,6.0
January,23,14.0,-6.0,-,-,6.0
January,24,21.0,-2.0,0.00,0.00,6.0
January,25,-2.0,-13.0,0.00,0.00,6.0
January,26,8.1,-13.0,-,0.20,6.0
January,27,18.0,-11.0,-,-,6.0
January,28,32.0,-5.1,0.21,4.02,7.0
January,29,7.0,-13.0,0.00,0.00,6.0
January,30,-13.0,-32.1,0.00,0.00,4.0
January,31,3.9,-32.1,-,-,4.0
February,1,19.0,1.0,0.03,0.51,4.0
February,2,26.1,16.0,0.00,0.00,4.0
February,3,41.0,15.1,0.00,0.00,3.0
February,4,17.1,-9.0,-,0.12,3.0
February,5,-4.0,-9.0,0.06,1.10,4.0
February,6,1.9,-5.1,0.03,0.31,4.0
February,7,3.9,-5.1,0.08,2.52,7.0
February,8,-4.0,-20.9,-,0.20,6.0
February,9,-2.0,-20.9,0.00,0.00,6.0
February,10,12.9,-2.0,-,-,6.0
February,11,10.9,3.9,0.05,1.50,7.0
February,12,19.0,10.0,0.11,1.69,6.0
February,13,10.0,-9.0,0.00,0.00,6.0
February,14,23.0,-5.1,0.00,0.00,6.0
February,15,8.1,-14.1,-,-,6.0
February,16,5.0,-13.0,0.00,0.00,6.0
February,17,15.1,5.0,0.04,0.91,7.0
February,18,16.0,-4.0,0.06,1.18,7.0
February,19,10.0,-15.0,0.00,0.00,7.0
February,20,12.9,-9.0,0.30,5.51,12.0
February,21,18.0,-2.9,-,-,12.0
February,22,10.9,-2.0,-,-,12.0
February,23,24.1,10.9,0.05,0.79,12.0
February,24,25.0,3.9,-,-,10.0
February,25,3.9,-6.0,0.05,1.30,12.0
February,26,-2.0,-13.0,-,-,12.0
February,27,1.9,-4.0,-,-,12.0
